last_name,first_names,url
Balzer,Robert,http://mr.teknowledge.com/daml/people/balzer/balzer-home.htm
Bjørner,Dines,http://www.imm.dtu.dk/~db
Buxton,John,http://www.expertsearch.co.uk/cgi-bin/find_expert?1513
Gries,David,http://www.cs.cornell.edu/Info/People/gries/gries.html
Guttag,John,
R. Harrison,John,http://www.cl.cam.ac.uk/users/jrh/
C. R. Hehner,Eric,http://www.cs.utoronto.ca/~hehner
Henderson,Peter,
Krishnamurthi,Shriram,http://www.cs.brown.edu/~sk/
W. Lampson,Butler,http://research.microsoft.com/lampson/
Douglas McIlroy,M.,http://www.cs.dartmouth.edu/~doug/
McKeeman,Bill,http://www.cs.dartmouth.edu/~mckeeman/
McMillan,Ken,http://www-cad.eecs.berkeley.edu/~kenmcmil/
Owicki,Susan,http://www.owickimft.com/
Lorge Parnas,David,http://www.cas.mcmaster.ca/sqrl/parnas.homepg.html
C. Pierce,Benjamin,http://www.cis.upenn.edu/~bcpierce/home.html
Randell,Brian,http://www.cs.ncl.ac.uk/people/brian.randell
R. Rao,J.,http://domino.research.ibm.com/comm/research_people.nsf/pages/jrrao.index.html
B. Schneider,Fred,http://www.cs.cornell.edu/fbs/
Teitelman,Warren,
von Wright,Joakim,http://www.abo.fi/~jwright/
